Image Path,Label
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken beer_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken beer (1)_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/HD Heineken Beer Can PNG_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/HD Heineken Beer Can PNG (1)_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/_ (4)_logo_3.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken (2)_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Sextou_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Exposición_logo_1.jpg,Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/HD wallpaper_ two, beer, bottles, of, heineken, green, beverages, car, city_logo_2.jpg",Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/HD wallpaper_ two, beer, bottles, of, heineken, green, beverages, car, city_logo_1.jpg",Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Es momento #Heineken en #LasVegas Ahora estoy esperando mi turno para el #RollerCoaster #BerlinGonzalez #FelizLunes #FYP #Nevada #MOVO #Happy #lasvegasfun #LatinosUSA #Trending #Trend #Musica #Love_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken pilsener 5_vol_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/d5af5bc3-be40-4009-be3b-40477aca994b_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Minha cervejinha_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Wallpaper Heineken_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/d3590b50-a4b2-438f-9711-800a15747ad8_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Mitad cervecera💚_logo_2.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Mitad cervecera💚_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/The Logo Evolution of Heineken Over Time [Infographic]_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/HEINEKEN _ RETOUCH (2)_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/BeerTalk__logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken (3)_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/_ (22)_logo_5.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/_ (22)_logo_4.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Post Story Distribuidora Cerveja Heineken Social Media PSD Editável_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Cerveja trincando_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/_ (22)_logo_3.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken (4)_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken (5)_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken (4)_logo_2.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Images and videos of heineken beer_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Images and videos of heineken beer_logo_2.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/One of my favs❤_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/One of my favs❤_logo_2.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/One of my favs❤_logo_3.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken (6)_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Beer Bottles_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Dissecting Heineken_s Successful Ads with Neuromarketing - NeuroRelay_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken (7)_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Feeling Blue_logo_1.jpg,Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Free download _ White crown bottle cap, Beer bottle Bottle cap, beer bottle material, glass, caps, happy Birthday Vector Images png_logo_1.jpg",Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Bailarina passos de balé desenho simples vetor menina com coroa rosa pack de imagens fundo transparente png - Art Poin_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken USA Shifts Digital to Omnicom Shop Red Urban_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/b5335361-0c68-4d24-b62e-7131c3ca3683_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Diageo sells brewing stakes to Heineken for $780_5 million_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/_ (4) copy_logo_2.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/BeerTalk_ copy_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/33a5ba36-1445-4252-b4e0-98bc1ab90074.jpeg,Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/[Vector Logo] Bia Heineken - Heineken Beer - Download Định Dạng EPS, SVG Cho AI, Corel » Hải Triều.jpeg",Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Download HD Heineken Beer Label - Logo Heineken Transparent PNG Image - NicePNG_com.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Logo PNG Vector (AI) Free Download.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Beer Logo Png Clipart (#5742510) - PinClipart.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/1c0c6bb3-7be8-47c2-a7f9-2ebd603fb451.jpeg,Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Free download _ Heineken logo, Heineken International Beer Logo, beer, label, trademark, signage png.jpeg",Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Opens New Brewery in Mexico.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Download Free Heineken Beer Logo Vector - Free Vector Logos.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Logo – PNG e Vetor – Download de Logo.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken 0_0 Logo PNG Vector (CDR) Free Download.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/a73ff527-cc57-448d-b510-a6b5ac5166dc.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Geschiedenis van Heineken - My happy kitchen & lifestyle.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/f9591fcb-a47d-45c2-9af0-00ec7586dd60.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken cap Logo PNG Vector (EPS) Free Download.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/26d458cd-bfa6-4c49-9247-b0fe0546ebf8.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/c33d2cb5-ddea-413f-92fb-a62c8f87d9be.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Tampa de Garrafa da Heineken Elemento 3D PNG Transparente.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/All Heineken Beer Logos.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/09bdeca9-1428-4edd-b534-d495a07ebd75.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Logo PNG Vector (CDR) Free Download.jpeg,Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken beer, Netherlands.jpeg",Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Slogan - Heineken Tagline - Logo - Founder - Owner.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Beer logos- Heineken.jpeg,Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Vector Logos, Heineken Brand Logos, Heineken Eps Files, Ai  EA.jpeg",Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Logo Heineken, Lambang Heineken, Logo Cdr Heineken, - Heineken Logo Png, Transparent Png(703x861) - PngFind.jpeg",Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken logo, Vector Logo of Heineken brand free download (eps, ai, png, cdr) formats.jpeg",Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/ffa7dc13-80d6-4a60-96af-8a1bfe744f2b.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/17+ Logo Heineken Png.jpeg,Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken logo PNG, vector file in (SVG, AI, EPS) formats.jpeg",Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/07d5082b-0b88-40f1-b251-a088911bce44.jpeg,Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Logo Png Transparent, Png Download(2186x2164) - PngFind.jpeg",Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Sextou.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/DGBELL_ Wonen & Keuken.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/d79d6cbe-e8cc-4518-8d10-8ee43798269c.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/9081cc50-41af-4b98-a344-f87a1b6cc6e3.jpeg,Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Logo and symbol, meaning, history, PNG, brand.jpeg",Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Download Heineken Beer Label - Logo Heineken - HD Transparent PNG - NicePNG_com.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken - 0_0 Alcohol Free Beer _ Heineken Silver.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Round Edible Image! Place On Your Frosted….jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/7a6a36fb-8c70-4a1a-8216-1341e2a1a896.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Logo.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/38924e78-aecb-4e15-a5ff-593954595813.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken (1).jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken - Netherlands 1873.jpeg,Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Painel Redondo Budweiser   Arte Para Impressão #002 _ Técnicas De Artesanato Arte Digital _ Super Promoção 3 Kits por R$14,90 - Solicite o Anúncio Promocional.jpeg",Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/The circle with the star Logo_.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken (2).jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/4bbd4216-31ae-4101-8c8e-a01315265faa.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Come and join the celebration and #WIN the….jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/22bf2caa-05b5-42a8-9dde-cc42b8080a90.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/fb754d32-b4b6-46b4-a2ae-6d78076ef561.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/6f571977-4d28-4dd4-b402-089ac4789dab.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/9dd6bd27-9299-440f-bba8-c639bd8685fd.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Placa Tampa De Garrafa Decorativa 35 Cm Cerveja _ Leroy Merlin.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/HEINEKEN - Van Tao Vietnam - Beer Labels.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Boteco.jpeg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/_ (2).jpeg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Erst mit dir wird’s legendär__logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s International Premium Beer Trio_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Kit 12 Uni_ Cerveja Puro Malte Becks 350Ml Lata 350Ml_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s forced to issue $50 refunds - The Drinks Business_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Non-Alcoholic Beer Bottles (12 oz x 6 ct)_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Brauerei Beck & Co - Beck_s Beer_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Cerveja Beck_s German Lager 600ml_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer Might Actually Owe You Fifty Bucks - Maxim_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer Might Actually Owe You Fifty Bucks - Maxim_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer Might Actually Owe You Fifty Bucks - Maxim_logo_3.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Imported_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer (1)_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Walhalla 🤍_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Walhalla 🤍_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Bremen ‘ best beer - Becks_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer (2)_logo_5.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer (2)_logo_4.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer (2)_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer (2)_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer (2)_logo_3.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Becks  24 x 275ml - 24 x 275ml_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Cerveja Beck_s German Pilsner Garrafa 600ml_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer in Düsseldorf_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s Beer in Düsseldorf_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Becks_logo_3.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Becks_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Becks_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/dd410b02-87a0-4950-b4f8-d1786637b775_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/beck`s_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/beck`s_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Bière trouvée lors du stage en Tunisie_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Becks (1)_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Merecido descanso!_logo_1.jpg,Becks Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Cerveza Becks, es una cerveza rubia alemana estilo lager__logo_1.jpg",Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Cerveza Becks (Alemanía)_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Delve_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/📍 IF SOKAK _ Ankara_logo_1.jpg,Becks Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/BECKS, COLONIA IDS_logo_1.jpg",Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Bebidas_logo_1.jpg,Becks Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/BECKS, COLONIA IDS_logo_2.jpg",Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Breja_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/3060c1c4-f113-4ceb-905f-5daf413d42cc_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beer Label Printing_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Top 10 Best Beers for Gout_ Low Purine Beer_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Becks ice beer snap_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Becks ice beer snap_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s beer (3)_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Becks (2)_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/692cb4d3-b245-4a3c-9f0f-e6bb631afa95_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/4eb1b565-ae1f-478a-8695-dad06f3a39fd_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/692cb4d3-b245-4a3c-9f0f-e6bb631afa95_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/e6afe5cc-715e-4ad0-93b8-20cec2c44521_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/e6afe5cc-715e-4ad0-93b8-20cec2c44521_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/17df04b2-33d6-47c0-824b-6d53f8ec45c2_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Alemana_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Alemana_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s 🇩🇪_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Becks again _D_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Cerveza Becks en el jardín! cosas para disfrutar_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/6ebe9053-2fdd-4d93-a013-d5900467fc42_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/BECKS (3)_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Yah das ist gut !!! _ LOVE THIS _ BECK_S BEER_…_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/CERVEZA PALMA CRISTAL_ ¿Has oído de la marca de…_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/CERVEZA PALMA CRISTAL_ ¿Has oído de la marca de…_logo_3.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/CERVEZA PALMA CRISTAL_ ¿Has oído de la marca de…_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/16010a34-a385-4422-a06f-3922948997bc_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s (1)_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck_s (Alemanha)_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/53db94f4-7e8c-443b-9549-a557971709d5_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/53db94f4-7e8c-443b-9549-a557971709d5_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Addictive Gaming Site_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck S Beer Bottle 3d Obj_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Alemana (1)_logo_2.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Alemana (1)_logo_1.jpg,Becks Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Cerveza Becks, es una cerveza rubia alemana estilo…_logo_1.jpg",Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck’s_logo_1.jpg,Becks Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Becks Beer/Beck’s_logo_2.jpg,Becks Beer
